 id,sale_id,quantity,stock_id
DB76E971-231F-8667-3F31-5FD65E3759F0,6758136C-58BC-1B53-AFC0-4145681E577A,155,STOCK-ID-1
8B066C5C-BEDA-DFA2-B2C4-F5BA229E239E,6758136C-58BC-1B53-AFC0-4145681E577A,55,STOCK-ID-2
AB42458E-05B3-4EBC-2114-B8B7F8B5C29C,6758136C-58BC-1B53-AFC0-4145681E577A,105,STOCK-ID-3
51B45F41-F238-7D94-C881-5BC204F16F4F,6758136C-58BC-1B53-AFC0-4145681E577A,35,STOCK-ID-4
D3619F5F-FC83-848D-B178-7EB7CE0D9704,762B0113-AE01-6FD5-8B85-DDBCA18D624F,55,STOCK-ID-5
1396DD20-7B98-67FA-67C8-3C9003F7C1F8,762B0113-AE01-6FD5-8B85-DDBCA18D624F,70,STOCK-ID-6
A8FBCC9D-65E4-3F33-CD85-04F6E97AC4A7,762B0113-AE01-6FD5-8B85-DDBCA18D624F,14,STOCK-ID-7
4A7DA9AE-0FE4-7AA1-6097-6135C9212CC2,762B0113-AE01-6FD5-8B85-DDBCA18D624F,28,STOCK-ID-8
56B9ADFB-8B24-F643-B1BF-59C5DA14AE7D,295C8DA8-7AD6-0A78-41D4-E31E91C5F3CC,30,STOCK-ID-9
F1D1A11F-D42E-1BC8-FE74-E62B8371F732,295C8DA8-7AD6-0A78-41D4-E31E91C5F3CC,30,STOCK-ID-10
6F430DB9-91F9-8EA6-F7FD-A3DCEF8AF664,295C8DA8-7AD6-0A78-41D4-E31E91C5F3CC,30,STOCK-ID-11
5BB3E21D-EF13-C5CC-C881-8F495608A6AA,295C8DA8-7AD6-0A78-41D4-E31E91C5F3CC,45,STOCK-ID-12
